Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
Architectural composition;Rob Krier ;1988;Rizzoli;usa;PTD-007;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Cuerpo, Memoria y Arquitectura;Kent Bloomer, Charles W. Moore;1975;Editorial Blume;Madrid ;PTD-008;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Inquietud teorica y estrategia proyectual;Rafael Moneo;2004;Ingoprint SA;Union Europea;PTD-009;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
"Dieseño Arquitectonico;Arquitectura y ciencias humanas ";Geoffrey Broadbent;1974;Editorial Gustavo Gili;Barcelona;PTD-010;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Ensayo sobre la síntesis de la Forma;Christopher Alexander;1986;Ediciones Infinito;Buenos Aires;PTD-011;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Teoria de la arquitectura;Enrico Tedeschi;1972;Nueva visión; Buenos Aires;PTD-012;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Aprender Arquitectura;Alberto Saldarriaga;1975;Corona;Bogotá;PTD-013;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
 Arquitectura fin de siglo un manifiesto de ausencia;Alberto Saldarriaga;1994;Eun;Bogotá;PTD-014;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Forma viva, el oficio del diseño ;Dicken Castro;1994;Escala;Bogotá;PTD-015;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
La arquitectura como problema;Pedro Arturo Martínez Osorio;2009;Cecar;Colombia;PTD-016;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Diseñoterapia;Ramon Leon;1970;Venegrafica;Venezuela;PTD-017;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Metodo del diseño arquitectonico;G. Broadbent ;1971;Editorial Gustavo Gili;Barcelona;PTD-018;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Enfoque analítico y sistémico hacia la coordinación técnica  en la arquitectura;Julio César Acuña;2008;Universidad Nacional de Colombia;Bogotá;PTD-019;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Introducción a una teoría del conocimiento de la arquitectura y del diseño ;Margarit;1969;Editorial Blume;España;PTD-020;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
La relacion cultura naturaleza en la arquitectura occidental;Harold Espinal;2001;Artes graficas del Valle;Colombia;PTD-021;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Ordenano el interior;Alicia Paz Riquelme;1997;Universidad Autonoma Metropolitana;Mexico;PTD-022;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
En busca del cuadrado;David Consuegra;1997;Universidad Nacional de Colombia;Bogotá;PTD-023;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Arquitectura, Complejidad y Morfogénesis;Omar Cañete Islas;2014;Universidad de Valparaíso;Chile;PTD-024;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Acustica de los locales;K. Weisse;;Editorial Gustavo Gili;Barcelona;PTD-025;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Architectural and interior models desogn and construction ;Sanford Hohauser;;VNR;New York;PTD-026;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Coordinación modular y dimencional;INAVI;1975;INAVI;Venezuela;PTD-027;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
No soy to, sos vos espacios exteriores;María Eugenia Orozco;2014;Universidad Autonoma de coahuila;Mexico;PTD-028;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
The iriwins chanin school of architecture of the cooper union;John Hejduk;1988;Rizzoli;New York;PTD-029;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Cubismo y racionalismo;Cifar;2000;Escala;Bogota;PTD-030;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Manifiesto del nuevo espiritu;Anibal Moreno Gómez;;Escala;Bogota;PTD-031;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Educación arquitecto punto de vista de la Cooper Union;Cifar;2000;Escala;Bogota;PTD-032;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Análisis de los espacios que habitamos;Cappola Pignatelli, Paola;1997;Àrbol Ediciones;Bogotá;PTD-033;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Construyendo pedagogía Estándares básicos para construcciones escolares;Rivera Realpe, Alvaro y asociados LTDA - Alcaldía Mayor de Bogotá;2000;Alcaldia Mayor de Bogotá;Colombia;PTD-034;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Arquitectura fin de siglo. Un manifiesto de ausencia;Saldarriaga Roa, Alberto;1994;eun;Colombia;PTD-035;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
El antiespacio. Negative real space--;Hersúa;;Universidad Autonoma de mexico;Mexico;PTD-036;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Education of an Architect.;The Irwin S. Chanin School of Architecture of The Cooper Union;1988;Rizzoli;EE.UU;PTD-037;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Arquitectura Expandida;Communauté chene pointu;2018;;EE.UU;PTD-038;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
The architecture of self-help communities;Michael Y. Seelig;1938;;EE.UU;PTD-039;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Morfogenesis del objeto de uso;Mauricio Sanchez Valencia;2001;Universidad Jorge Tadeo Lozano;Bogotá;PTD-040;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Proyectar Arquitectura ;Alberto Saldarriaga Roa;2022;;Bogotá;PTD-041;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
El muro;Aparicio Guisado, J.;;Universidad de Palermo;;PTD-042;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Realidad natural y realidad abstracta;Piet Mondrian;1973;Barral Editores;Barcelona;PTD-043;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Del espacio arquitectónico ;Philippe Boudon;1980;Victor Lerú ;Buenos Aires;PTD-044;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Intervenciones;Ignasi de Sola-Morales;2006;Gustavo Gili;Barcelona;PTD-045;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
La arquitectura de la realidad;Antonio Monestiroli;1993;Ediciones el Serbal;Barcelona;PTD-046;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
De Re Aedificatoria;Leon Battista Alberti;1550;AKAL;Madrid;PTD-047;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Proyectar un edificio, Ocho lecciones de Arquitectura;Ludovico Quaroni;1980;Xarait;Italia;PTD-048;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Casa collage, Unensayo sobre la arquitectura de la casa;"Xavier Monteys; Pere Fuentes";2001;Gustavo Gilli;Barcelona;PTD-049;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Los principios de la arquitectura moderna;Christian Norberg- Schulz;2005;Reverté;España;PTD-050;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Para una arquitectura de tendencia;Aldo Rosi;1975;Gustavo Gilli;Milan;PTD-051;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Principios fundamentales de la Historia de la Arquitectura;Paul Frankl;1981;Gustavo Gilli;Barcelona;PTD-052;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Coderch, variaciones sobre una casa;Rafael Diez Barrenada;2003;Fundación caja de Arquitectura;;PTD-053;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Arquitectura lengua muerta y otros escritos;Giorgio Grassi;2003;Serbal;España;PTD-054;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Universidad  del Valle. Arquitectura para la educación. ;Pablo Buitrago _José Kattán;2011;Universidad del Valle. Programa Editoral;Colombia;PTD-055;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Planificación y diseño de restaurantes;Ferd Lawson;1979;Editorial Blume;España;PTD-056;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Contrapunteo cubano del Arco y el Horcón;Alicia García Santana;2000;Instituto Cubano del Libro;Colombia;PTD-057;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
El Oficio del Arquitecto;A.C.F.A. Agremiación Colombiana de Facultades de Arquitectura;2022;A.C.F.A. Agremiación Colombiana de Facultades de Arquitectura;Colombia;PTD-058;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Ciudad Hojaldre: Visiones urbanas del siglo XXI;Carlos Garcia Vazquez;2004;Gustavo Gili SA;España;PTD-059;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
Metodologia de la Historia;Jerzy Toposky;1992;Catedra;España;PTD-060;Proyecto arquitectonico;Teoría y Diseño Arquitectónico
;;;;;;;
Diccionario ilustrado de la arquitectura contemporanea;Gerd Hatje;1970;Editorial Gustavo Gili;Barcelona;PDA-001;Proyecto arquitectonico;Diccionario
Diccionario de arquitectura de la antigüedad a nuestros dias;Estudiopaperback;1981;Editorial Gustavo Gili;Barcelona;PDA-002;Proyecto arquitectonico;Diccionario
Diccionario ilustrado de arquitectura contemporanea;Estudiopaperback;1981;Editorial Gustavo Gili;Barcelona;PDA-003;Proyecto arquitectonico;Diccionario
Diccionario manual ilustrado de arquitectura;D. Ware;1998;Editorial Gustavo Gili;Mexico;PDA-004;Proyecto arquitectonico;Diccionario
Diccionario de simbolos ;Juan-Eduardo Cirlot;1969;Editorial Labor, sa.;España;PDA-005;Proyecto arquitectonico;Diccionario
;;;;;;;
La vivienda y su entorno;Liliana Andrade Lozano;1992;Universidad Javeriana;Bogotá;PRA-001;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
El proyecto experimental de vivienda (PREVI);Peter Land;2015;Universidad de los Andes;Lima;PRA-002;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Daydream Houses of los Angeles;Charles Jencks ;1976;Academy Editions;Great Britain;PRA-003;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Diseño y tecnologia para un mejor habitat polpular;Universidad Nacional de Colombia ;1987;Universidad Nacional de Colombia;Colombia;PRA-004;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
(1990)Simposio sobre Antropologia de la vivienda;Universidad Javeriana;1990;Colcultura;Bogotá;PRA-005;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Vivienda Guajira;Alberto Saldarriaga;1991;Carbocol;Colombia;PRA-006;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
La buena vida ;Iñaki Ábalos;2000;Editorial Gustavo Gili;Barcelona;PRA-007;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Vivienda II Trabajos de investigación;Universidad Autonoma de coahuila;2014;Universidad Autonoma de coahuila;Mexico;PRA-008;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Casas Latinoamericanas;Rómulo Moya Peralta;2001;Megagraf;Ecuador;PRA-009;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
 Atlas de casas urbanas;Guillermo Kliczkowski;2008;Nobuko.;Argentina;PRA-010;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
"Habitante;La mirada crítica desde el espacio escultórico contemporaneo hacia la arquitectura domestica actual";Juan David Giraldo;2009;Universidad Nacional;Medellin;PRA-011;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
A Japanese touch for your home ;Koji Yagi ;1982;Paperback;London;PRA-012;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Vivienda social antecedentes y propuestas de desarrollo progresivo;Diego Echeverry Campos;2003;Universidad de los Andes;Bogotá;PRA-013;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Vivienda,Habitabilidad y sostenibilidad;Olga Luvía Ramos;2005;Pontificia Universidad Javeriana;Bogotá;PRA-014;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Sustentabilidade e habitacao de interesse social chis 2012;Renee Nycolass;2003;Edipucrs;Brasil;PRA-015;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Colombia arquitectura hombre y clima ;Santiago Moreno;1991;Sena;Bogota;PRA-016;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Economia y calidad en la vivienda;Dania Couret;1997;Editorial cientifico-tecnica;España;PRA-017;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Especializacion en vivienda;Universidad Autonoma de mexico;;Universidad Autonoma de mexico;Mexico;PRA-018;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
IV Taller internacional de vivienda popular(Vol. 2) ;Pontificia Universidad Catolica del ecuador;2007;Sodoc Grafic;Quito;PRA-019;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
" El drama de la vivienda en Colombia y la politica del ""sí se puede""";Jose Enrique Robledo;1985;El Ácora editores;Bogota;PRA-020;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
"De la casa patriarcal a la casa nuclear;En el municipio cafetero de sevilla";Beartiz Moreno;1995;CEJA.;Bogotá;PRA-021;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
La vivienda es mas que un techo ;Beatrice Rosahn;1957;CINVA;Bogotá;PRA-022;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
El marco cultural en el estudio de la vivienda;Gerardo DolmatoffPanamericana;;Union ;Colombia;PRA-023;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
La accion comunal como prograna de gobierno;Ruben Dario ;1960; Fundación Universitaria de America;Bogota;PRA-024;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Manual de diseño participativo del Hábitat;Angela Torres;1991;Sena;Colombia;PRA-025;Proyecto arquitectonico;Proyecto Arquitectonico/ Vivienda
Parques tematicos;Francisco Cerver;1997;Arco editorial;España;PRA-026;Proyecto arquitectonico;Proyecto Arquitectonico
La arquitectura de los Rascacielos;Francisco Cerver;1997;Arco editorial;España;PRA-027;Proyecto arquitectonico;Proyecto Arquitectonico
La arquitectura de los Aeropuertos y estaciones;Francisco Cerver;1997;Arco editorial;España;PRA-028;Proyecto arquitectonico;Proyecto Arquitectonico
La arquitectura del minimalismo;Francisco Cerver;1997;Arco editorial;España;PRA-029;Proyecto arquitectonico;Proyecto Arquitectonico
Mas y mejores colegios para Bogotá;Alcaldia Mayor de Bogotá ;2009;Universidad Nacional de Colombia;Bogota;PRA-030;Proyecto arquitectonico;Proyecto Arquitectonico
Equidad para la primera infancia;Presidencia de la republica;2015;Artes y letras S.A.S;Colombia;PRA-031;Proyecto arquitectonico;Proyecto Arquitectonico
Hospitals and Health care facilities;Louis G. Redstone;;Mc Graw-Hill;New york;PRA-032;Proyecto arquitectonico;Proyecto Arquitectonico
Catering:Diseño de establecimientos alimentarios ;Fred Lauson;1978;Editorial Blume;Barcelona;PRA-033;Proyecto arquitectonico;Proyecto Arquitectonico
Colección dimensiones en Arquitectura, Comedores;J. Dartford;1992;Editorial Gustavo Gili;Mexico;PRA-034;Proyecto arquitectonico;Proyecto Arquitectonico
Estación de la sabana;Milena Rubio;2010;Universidad Catolica de Colombia;Bogotá;PRA-035;Proyecto arquitectonico;Proyecto Arquitectonico
Historia del teatro municipal;Instituto Distrital de Cultura y Turismo;1997;Panamericana;Bogotá;PRA-036;Proyecto arquitectonico;Proyecto Arquitectonico
Edificios administrativos y de oficina ;J. Joedicke;1975;Editorial Gustavo Gili;Barcelona;PRA-037;Proyecto arquitectonico;Proyecto Arquitectonico
Centro comercial Niza Concurso Arquitectonico;Banco central Hipotecario;;BCH;Colombia;PRA-038;Proyecto arquitectonico;Proyecto Arquitectonico
Mutaciones Urbanas Bogota: Centros comerciales y con-textos ;Claudio Rossi;2016;Ediciones Uniandes;Bogota;PRA-039;Proyecto arquitectonico;Proyecto Arquitectonico
Bogotá:Proyectar habitar;Cynthia Prado;2014;;Bogota;PRA-040;Proyecto arquitectonico;Proyecto Arquitectonico
Arquitectura; Colegio Oficial de Arquitectura de Madrid;1988;Helios;Madrid;PRA-041;Proyecto arquitectonico;Proyecto Arquitectonico
special La villette;Nouvelles de France;1986;;Francia;PRA-042;Proyecto arquitectonico;Proyecto Arquitectonico
Coliseo cubierto el Campin de Bogotá;Alcaldia Mayor de Bogotá;1973;Coral Ltda;Bogota;PRA-043;Proyecto arquitectonico;Proyecto Arquitectonico
El Cementerio Central en los procesos de transformación urbana de bogotá y su incidencia en los Imaginarios Sociales;Mayerly Villar;;Cementeri Central;Bogota;PRA-044;Proyecto arquitectonico;Proyecto Arquitectonico
Guia del Cementerio Central de Bogotá;Martín Pérez;2004;Panamericana Formas e impresiones;Bogota;PRA-044;Proyecto arquitectonico;Proyecto Arquitectonico
Cenmenterio La recoleta;ADACRE;;ADACRE;Buenos Aires;PRA-045;Proyecto arquitectonico;Proyecto Arquitectonico
Hotel Tequendama un simbolo de Bogotá;Alfredo Iriarte;1988;Inter continental;Bogota;PRA-046;Proyecto arquitectonico;Proyecto Arquitectonico
Referencias en inmuebles de oficinas centros empresariales;Bouygues;1990;;Hong Kong;PRA-047;Proyecto arquitectonico;Proyecto Arquitectonico
Biblioteca Atrium de la Decoración Comercial (Vol.1-5) ;Ediciones Atrium;;Atrium;España;PRA-048;Proyecto arquitectonico;Proyecto Arquitectonico
Proyectos;Enciclopedia Ceac;;caec;Barcelona;PRA-049;Proyecto arquitectonico;Proyecto Arquitectonico
Research Center in Switzerland;Holcin foundation;;Holcin foundation;Barcelona;PRA-050;Proyecto arquitectonico;Proyecto Arquitectonico
Si las paredes hablaran 50 años de música en la Biblioteca Luis Ángel Arango;Banco de la República;;Banco de la republica;Colombia;PRA-051;Proyecto arquitectonico;Proyecto Arquitectonico
Lofts;;2003;Feierabend;Italia;PRA-052;Proyecto arquitectonico;Proyecto Arquitectonico
Evaluación de la vivienda construida en serie con el habitante;Torres Pérez, María Elena;2014;Plaza y Valdés S.A;Mexico;PRA-053;Proyecto arquitectonico;Proyecto Arquitectonico
Cómo evaluar la vivienda construida en serie;Torres Pérez, María Elena;2014;Plaza y Valdés S.A;Mexico;PRA-054;Proyecto arquitectonico;Proyecto Arquitectonico
La calidad de la oferta reciente de vivienda de interés social en Bogotá. La medición de la calidad desde la perspectiva de los actores públicos y privados involucrados en su producción y demanda;Concha Serrano, María Camila;2016;Ediciones Uniandes;Colombia;PRA-055;Proyecto arquitectonico;Proyecto Arquitectonico
"Diagrammatic potency pf the ""nine square grid"" in architecture. Concepts, selected examples and discussion";Kalfazade, Nihat;2009;VDM;EE.UU;PRA-056;Proyecto arquitectonico;Proyecto Arquitectonico
La construcción de la intimidad. Casas de Guillermo Bermudez Umaña;Bright, P.;2004;Universidad Católica de Colombia;Colombia;PRA-057;Proyecto arquitectonico;Proyecto Arquitectonico
Building type basics for Research Laboratories;Daniel Watch;2001;Library of Congress;EE.UU;PRA-058;Proyecto arquitectonico;Proyecto Arquitectonico
Proyectar Arquitectura ;Alberto Saldarriaga;2022;A.C.F.A. Agremiación Colombiana de Facultades de Arquitectura;Colombia;PRA-059;Proyecto arquitectonico;Proyecto Arquitectonico
;;;;;;;
La innovación técnica en la modernidad Bogotana: El caso del edificio Pan american life insurance;Camilo Villate Matiz;2015;Ediciones Uniandes;Bogota;APA-001;Proyecto arquitectonico;Análisis de proyecto arquitectónico
Edificio Francisco Camacho, Un momento, un entorno y una arquitectura;Roberto Jose Londoño;2011;Ediciones Uniandes;Bogota;APA-002;Proyecto arquitectonico;Análisis de proyecto arquitectónico
Torre de oficinas Avianca;Camilo Villate Matiz;2012;Ediciones Uniandes;Bogota;APA-003;Proyecto arquitectonico;Análisis de proyecto arquitectónico
La construccion de la intimidad casas de Guillermo Bermudez Umaña ;Juan Bright Samper;2004;Universidad Nacional de Colombia;Bogota;APA-004;Proyecto arquitectonico;Análisis de proyecto arquitectónico
Fernando Martinez Sanabria, Hacia la construcción de un paisaje interior;Diego Ospina Arroyave;2011;Punto Aparte;Bogotá;APA-005;Proyecto arquitectonico;Análisis de proyecto arquitectónico
Euritmia, Una experiencia audiovisual en el espacio colectivo de Rogelio Salmona para Bogotá;Enrico Mandirola;2014;Ediciones Uniandes;Bogota;APA-006;Proyecto arquitectonico;Análisis de proyecto arquitectónico
El Muro;Aparicio Guisado;2000;Artes graficas Grupo ;Madrid;APA-007;Proyecto arquitectonico;Análisis de proyecto arquitectónico
Análisis de los espacios que habitamos;Cappola Pignatelli, Paola;1997;Àrbol Ediciones;Bogotá;APA-008;Proyecto arquitectonico;Análisis de proyecto arquitectónico
La casa de un solo muro ;Juan Miguel Hernandez León;1990;Nerea;Madrid;APA-009;Proyecto arquitectonico;Análisis de proyecto arquitectónico
La experiencia de la arquitectura. Sobre la percepción de nuestro entorno;Steen Eiler Rasmussen;2000;Líbreria Mairea;Madrid;APA-010;Proyecto arquitectonico;Análisis de proyecto arquitectónico
;;;;;;;
Normas tecnicas Colombianas;Icontec;;Icontec;Colombia;RA-001;Proyecto arquitectonico;Representación arquitectura
Manual de perspectiva modular;Tomás Salgado;1988;Trillas;Mexico;RA-002;Proyecto arquitectonico;Representación arquitectura
Graficos para arquitectos;Kevin Forseth;1981;Editorial Gustavo Gili;Mexico;RA-003;Proyecto arquitectonico;Representación arquitectura
Manual de dibujo arquitectónico;F. Ching;1976;Editorial Gustavo Gili;Barcelona;RA-004;Proyecto arquitectonico;Representación arquitectura
Geometria descriptiva basica;Gonzalo Leon;1977;;Colombia;RA-005;Proyecto arquitectonico;Representación arquitectura
Geometria descriptiva;Minor Hawk;;McGraw-Hill Book Co;Usa;RA-006;Proyecto arquitectonico;Representación arquitectura
El dibujo arquitectonico;Leskek Maluga;1990;Tilde;Mexico;RA-007;Proyecto arquitectonico;Representación arquitectura
Dibujos de presentación;Jorge Abrams;1990;Tilde;Mexico;RA-008;Proyecto arquitectonico;Representación arquitectura
Historia del arte y de la arquitectura, dibujo técnico;G. Mendoza;1984;;Usa;RA-009;Proyecto arquitectonico;Representación arquitectura
Sombra luminosa ;Regina Silveira;2010;Banco de la republica;Colombia;RA-010;Proyecto arquitectonico;Representación arquitectura
El molde;Carlos Jimenez;2001;Universidad Nacional  de Colombia;Bogotá;RA-011;Proyecto arquitectonico;Representación arquitectura
Curso completo de dibujo arquitectonico;Moia, Jose Luis;1944;Windsor;Argentina;RA-012;Proyecto arquitectonico;Representación arquitectura
Documentaciones sobre práctica profesional. Guía para el desarrollo gráfico del proyecto;Consejo Profesional Nacional de Arquitectura y sus profesiones auxiliares Colombia;2005;Zona Ltda;Colombia;RA-013;Proyecto arquitectonico;Representación arquitectura
Las medidas de una casa. Antripometria de la vivienda;Fonseca, Xavier;1991;Editorial Conceptos;Mexico;RA-014;Proyecto arquitectonico;Representación arquitectura
Dibujos y Bocetos de Arquitectura;A.C.F.A. Agremiación Colombiana de Facultades de Arquitectura;2018;A.C.F.A. Agremiación Colombiana de Facultades de Arquitectura;Colombia;RA-015;Proyecto arquitectonico;Representación arquitectura
;;;;;;;
;;;;;;;
"El patrimonio urbano de bogota;ciudad y arquitectura";Carloa Niño, Alberto Saldarriaga, Luis carlos Colón;2003;El Áncora editores;Colombia;BOH-001;Bogotá;Historia de Bogotá
Centro de Bogotá Realidades e imaginarios;Revista la tadeo;2008;Revista la Tadeo;Colombia;BOH-002;Bogotá;Historia de Bogotá
La perdida de la tradición moderna en la arquitectura de Bogotá y sus alrededores; Camilo Mendoza Laverde;2004;Pontificia Universidad Javeriana;Colombia;BOH-003;Bogotá;Historia de Bogotá
Bogotá Siglo XX;Museo de desarrollo urbano;2000;Panamericana Formas e impresiones;Colombia;BOH-004;Bogotá;Historia de Bogotá
Espacio Público por la ciudad;Museo de desarrollo urbano;2001;Panamericana Formas e impresiones;Colombia;BOH-005;Bogotá;Historia de Bogotá
Ojo en la ciudad;Museo de desarrollo urbano;2001;Panamericana Formas e impresiones;Colombia;BOH-006;Bogotá;Historia de Bogotá
Arquitectura de la primera modernidad en Bogotá;Seminario modernidad en america latina;1995;Editorial Presencia;Colombia;BOH-007;Bogotá;Historia de Bogotá
Bogotá y lo público;Universidad de los Andes;2000;Javegraf;Colombia;BOH-008;Bogotá;Historia de Bogotá
Bogotá 450 años retos y realidades;Pedro Santana;1988;Servigraphic Ltda;Colombia;BOH-009;Bogotá;Historia de Bogotá
Transformaciónes urbanas en Bogotá 1930-1948 ;Mayerly Villar;2009;Libros del Paramo;Colombia;BOH-010;Bogotá;Historia de Bogotá
Reflejos,Fantasmas,Desarraigos Bogotá recorrida;Juan Carlos Pérgolis;1999;Arango Editores;Colombia;BOH-011;Bogotá;Historia de Bogotá
Sobre el fenómeno de transformación de la Ciudad;Mayerly Villar;2010;Libros del Paramo;Colombia;BOH-012;Bogotá;Historia de Bogotá
Bogotá siglo XX Urbanismo,Arquitectura y vida Urbana;Alberto Saldarriaga;2000;Escala;Colombia;BOH-013;Bogotá;Historia de Bogotá
La imagen de la ciudad en las artes y en los medios;Garcia Moreno;2000;Universidad Nacional  de Colombia;Colombia;BOH-014;Bogotá;Historia de Bogotá
Ciudad para la Memoria Virgilio Barco y la construccion de Bogotá;Alcaldia Mayor de Bogotá;1995;Panamericana Formas e impresiones;Colombia;BOH-015;Bogotá;Historia de Bogotá
Planificación y politica en Bogotá la vida de Jorge Gaitan Cortes;Julio Davila;1999;Quebecor-Impreandes;Colombia;BOH-016;Bogotá;Historia de Bogotá
Bogotá Análoga;Universidad de los Andes;1997;Universidad de los Andes;Colombia;BOH-017;Bogotá;Historia de Bogotá
Bogotá el transito a la ciudad moderna 1920 - 1950;Juan Carlos Daza;2003;Editora Guadalupe Ltda;Colombia;BOH-018;Bogotá;Historia de Bogotá
Reseña urbana sobre la fundación de santafe el nuevo reino de Granada;Carlos Martinéz;1973;Sociedad Colombiana de Arquitectos;Colombia;BOH-019;Bogotá;Historia de Bogotá
Organización popular y desarrollo urbano en Bogotá ;Oscar Alfonso;1997;Cargaphics S.A;Colombia;BOH-020;Bogotá;Historia de Bogotá
Bogotá tiempo pasado historia presente;colsubsidio;;Museo Colsubsidio;Colombia;BOH-021;Bogotá;Historia de Bogotá
Bogotá Guia turistica;Alcaldia Mayor de Bogotá;1999;Alcaldia Mayor de Bogotá;Colombia;BOH-022;Bogotá;Historia de Bogotá
El mirador de Bogotá. El mapa de la ciudad para la ciudad;Instituto Distrital de Cultura y Turismo;;;Colombia;BOH-023;Bogotá;Historia de Bogotá
Bogotá una memoria viva. Bogotá bicentenario;El Espectador;;;Colombia;BOH-024;Bogotá;Historia de Bogotá
Guia de arquitectura Bogotá de la colonia al siglo XX;Saldarriaga Roa, Alberto;1994;Ediciones Proa;Colombia;BOH-025;Bogotá;Historia de Bogotá
Bolivar tuvo un caballo blanco, mi papá un buick tomo 0;Gaitán Jaramillo, Gloria;;;Colombia;BOH-026;Bogotá;Historia de Bogotá
La historia de frente. Arquitectura de Bogotá. ;Escovar Wilson- White, Alberto;;;Colombia;BOH-027;Bogotá;Historia de Bogotá
Elaboración del Plan Regulador de Bogotá. Establecimiento del plan Director por Le Corbusier en París 1949-1950. LC BOG Le Corbusier en Bogotá 1949-1951 Tomo I;Universidad de los Andes & Potificia Universidad Javeriana;2010;Universidad de los Andes & Potificia Universidad Javeriana;Colombia;BOH-028;Bogotá;Historia de Bogotá
Precisiones en torno al Plan Director.  LC BOG Le Corbusier en Bogotá 1949-1952. Tomo II;Universidad de los Andes & Potificia Universidad Javeriana;2011;Universidad de los Andes & Potificia Universidad Javeriana;Colombia;BOH-029;Bogotá;Historia de Bogotá
|;Rocio Londoño Botero & Alberto Saldarriaga Roa;1994;Fundación Social;Colombia;BOH-030;Bogotá;Historia de Bogotá
;;;;;;;
Republica de Colombia Alcaldia mayor de Bogota, estudio de factibilidad y realización de un sistema de transporte masivo para Bogotá ;Secretaria de obras publicas;1981;INECO;Colombia;BOP-001;Bogotá;Planeación
